JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL
1423,195689,6,7,7,2534,2844,0.182242991000000,6
1423,195690,7,7,7,2534,2844,0.182242991000000,7
1425,195691,6,7,7,2538,2848,0.224299065000000,6
1425,195692,7,7,7,2538,2848,0.224299065000000,7
1423,195693,7,7,7,2534,2844,0.182242991000000,7
1423,195694,7,7,7,2534,2844,0.182242991000000,7
1423,195695,7,7,7,2534,2844,0.182242991000000,7
1425,195696,7,7,7,2538,2848,0.224299065000000,7
1423,195697,6,7,7,2534,2844,0.182242991000000,6
1423,195698,7,7,7,2534,2844,0.182242991000000,7
1423,195699,7,7,7,2534,2844,0.182242991000000,7
1423,195700,7,7,7,2534,2844,0.182242991000000,7
1423,195701,6,7,7,2534,2844,0.182242991000000,6
1423,195702,6,7,7,2534,2844,0.182242991000000,6
1423,195703,5,6,7,2534,2844,0.182242991000000,5
1423,195704,7,7,7,2534,2844,0.182242991000000,7
1423,195705,6,7,7,2534,2844,0.182242991000000,6
1423,195706,7,7,7,2534,2844,0.182242991000000,7
1423,195707,7,7,7,2534,2844,0.182242991000000,7
1423,195708,6,7,7,2534,2844,0.182242991000000,6
1423,195709,6,7,7,2534,2844,0.182242991000000,6
1425,195710,N,N,N,2538,2848,0.224299065000000,0
1423,195711,N,N,N,2534,2844,0.182242991000000,0
1447,195712,6,7,7,2844,2891,0.233644860000000,6
1447,195713,7,7,7,2844,2891,0.233644860000000,7
1447,195714,6,7,7,2844,2891,0.233644860000000,6
1447,195715,7,7,7,2844,2891,0.233644860000000,7
1447,195716,7,7,7,2844,2891,0.233644860000000,7
1447,195717,7,7,7,2844,2891,0.233644860000000,7
1479,195718,6,7,6,2848,2955,0.140186916000000,6
1447,195719,6,7,6,2844,2891,0.233644860000000,6
1479,195720,7,7,7,2848,2955,0.140186916000000,7
1479,195721,7,7,7,2848,2955,0.140186916000000,7
1479,195722,7,7,7,2848,2955,0.140186916000000,7
1447,195723,7,7,7,2844,2891,0.233644860000000,7
1479,195724,7,7,7,2848,2955,0.140186916000000,7
1447,195725,7,7,7,2844,2891,0.233644860000000,7
1447,195726,7,7,7,2844,2891,0.233644860000000,7
1447,195727,7,7,7,2844,2891,0.233644860000000,7
1479,195728,7,7,6,2848,2955,0.140186916000000,6
1447,195729,7,7,6,2844,2891,0.233644860000000,6
1267,195730,7,7,7,2256,2534,0.228971963000000,7
