XCoord,YCoord,START_NODE,END_NODE,EDGE
-117.01328700,32.69677600,418,327,209
-117.01328700,32.69677600,418,445,223
-117.01328700,32.69677600,418,445,224
-117.18375500,32.69821900,420,393,210
-117.18375500,32.69821900,420,393,211
-117.18375500,32.69821900,420,432,216
-117.17226100,32.69872300,423,401,212
-117.17226100,32.69872300,423,401,213
-117.17231900,32.69874700,427,409,214
-117.17231900,32.69874700,427,409,215
-117.18292800,32.69964900,432,420,216
-117.18292800,32.69964900,432,409,217
-117.18292800,32.69964900,432,409,218
-117.14348200,32.69973000,437,333,219
-117.14370100,32.69975800,440,334,220
-117.01086200,32.70187000,442,322,221
-117.01086200,32.70187000,442,322,222
-117.01086200,32.70187000,442,450,226
-117.01111300,32.70428600,445,418,223
-117.01111300,32.70428600,445,418,224
-117.01111300,32.70428600,445,450,225
-117.01111300,32.70428600,445,615,308
-117.01076700,32.70480100,450,445,225
-117.01076700,32.70480100,450,442,226
-117.01076700,32.70480100,450,596,298
-117.01076700,32.70480100,450,612,306
-116.98299600,32.70991700,453,454,227
-117.01018900,32.70506300,454,453,227
-115.08921900,32.71076000,455,456,228
-115.08921900,32.71076000,455,457,229
-115.08921900,32.71076000,455,704,352
-115.08921900,32.71076000,455,768,386
-115.08946100,32.71047300,456,455,228
-115.08946100,32.71047300,456,369,230
-115.08946100,32.71047300,456,369,231
-115.08946100,32.71047300,456,614,349
-115.08946100,32.71047300,456,764,383
-115.08786800,32.71229800,457,455,229
-117.14408400,32.71307000,463,464,232
-117.14408400,32.71307000,463,464,233
-117.11795900,32.71637700,464,463,232
-117.11795900,32.71637700,464,463,233
-117.11795900,32.71637700,464,362,234
-117.11795900,32.71637700,464,470,235
-117.11795900,32.71637700,464,470,236
-117.11795900,32.71637700,464,478,240
-117.11779200,32.71639900,470,464,235
-117.11779200,32.71639900,470,464,236
-117.11779200,32.71639900,470,354,237
-117.11779200,32.71639900,470,354,238
-117.11779200,32.71639900,470,482,242
-117.11779200,32.71639900,470,482,243
-117.11779200,32.71639900,470,488,244
-117.11779200,32.71639900,470,488,245
-117.14220300,32.71328900,477,478,239
-117.11798600,32.71718100,478,477,239
-117.11798600,32.71718100,478,464,240
-117.11798600,32.71718100,478,482,241
-117.11798600,32.71718100,478,556,278
-117.11782100,32.71719900,482,478,241
-117.11782100,32.71719900,482,470,242
-117.11782100,32.71719900,482,470,243
-117.11782100,32.71719900,482,500,250
-117.11782100,32.71719900,482,550,275
-117.11782100,32.71719900,482,550,276
-117.10294300,32.71892300,488,470,244
-117.10294300,32.71892300,488,470,245
-117.10294300,32.71892300,488,207,246
-117.10294300,32.71892300,488,494,247
-117.10294300,32.71892300,488,494,248
-117.10294300,32.71892300,488,500,251
-117.10269400,32.71894100,494,488,247
-117.10269400,32.71894100,494,488,248
-117.10269400,32.71894100,494,209,249
