JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL,HEURISTIC
7627,216329,N,5,7,14550,15254,0,5.,0.4194743910444696
7627,216330,1,5,6,14550,15254,0,1.,0.6190451718440272
7121,216331,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216332,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216333,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216334,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216335,5,7,7,13927,14242,0.257009346,5.,0.6814415465088924
7121,216336,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216337,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7121,216338,7,7,7,13927,14242,0.257009346,7.,0.6005468070153238
7748,216339,6,7,7,14886,15496,0.303738318,6.,0.6819786467034961
7226,216340,7,7,6,14336,14450,0.38317757,6.,0.7274265806825764
7226,216341,6,7,7,14336,14450,0.38317757,6.,0.7274265806825764
7763,216342,N,N,N,15470,15496,0.214953271,0,0
7226,216343,N,N,N,14336,14450,0.38317757,0,0
7332,216344,N,N,N,14550,14664,0.275700935,0,0
7748,216345,5,7,7,14886,15496,0.303738318,5.,0.7309877693959895
7225,216346,7,7,7,14342,14450,0.200934579,7.,0.521360622692544
7627,216347,7,7,7,14550,15254,0,7.,0.3385796515509009
7627,216348,7,7,7,14550,15254,0,7.,0.3385796515509009
7171,216349,4,7,6,14242,14342,0.238317757,4.,0.7283812086639234
7273,216350,7,7,7,14545,14546,0.299065421,7.,0.6459782922616104
7308,216351,7,7,7,14546,14613,0,7.,0.3385796515509009
7308,216352,N,N,N,14546,14613,0,0,0
7308,216353,N,N,N,14546,14613,0,0,0
7307,216354,N,N,N,14613,14614,0,0,0
7369,216360,7,7,6,14613,14738,0,6.,0.37046526835197613
7369,216361,7,7,6,14613,14738,0,6.,0.37046526835197613
7369,216362,7,7,7,14613,14738,0,7.,0.3385796515509009
7445,216363,N,N,N,14886,14889,0,0,0
